tanggal,magnitudo_forecast,kedalaman_forecast,provinsi_forecast
2023-11-09,4.517359,231.211,Maluku
2023-11-10,4.131506,38.274033,Maluku Utara
2023-11-11,4.7132616,40.1518,Lampung
2023-11-12,4.3797913,-23.92519,Maluku
2023-11-13,4.1277156,152.80594,Gorontalo
2023-11-14,4.9261413,102.746666,Maluku Utara
2023-11-15,4.3947115,2.229275,Papua
2023-11-16,4.5376143,149.28662,Gorontalo
2023-11-17,4.7092247,21.610851,Sulawesi Barat
2023-11-18,4.8455873,52.566948,Bengkulu
2023-11-19,3.7077286,93.58708,Maluku Utara
2023-11-20,4.597151,29.360867,Maluku Utara
2023-11-21,4.5474844,83.00631,Jambi
2023-11-22,4.3934207,-14.511982,Papua
2023-11-23,5.31466,-76.814606,Papua
2023-11-24,4.4731154,-62.00336,Papua
2023-11-25,4.532499,11.14114,Maluku Utara
2023-11-26,4.093846,50.64477,Maluku Utara
2023-11-27,4.5696707,-37.679157,Maluku Utara
2023-11-28,4.315751,55.898575,Maluku Utara
2023-11-29,4.084601,7.4673805,Maluku Utara
2023-11-30,4.7607718,10.515896,Nusa Tenggara Timur
2023-12-01,4.6494207,37.889244,Maluku
2023-12-02,4.5222993,32.28082,Nusa Tenggara Timur
2023-12-03,4.493586,38.29328,Papua
2023-12-04,4.697951,-11.56863,Maluku Utara
2023-12-05,4.7096314,-26.4612,Maluku Utara
2023-12-06,4.1809998,108.73767,Maluku Utara
2023-12-07,4.373008,61.114464,Aceh
2023-12-08,4.5729485,-40.28449,Bengkulu
2023-12-09,4.5947104,79.9029,Maluku Utara
2023-12-10,4.8177133,68.53131,Maluku
2023-12-11,4.5976605,56.635635,Maluku
2023-12-12,4.7471805,33.288105,Sulawesi Utara
2023-12-13,4.1925993,30.601036,Maluku
2023-12-14,4.8464503,15.338249,Maluku Utara
2023-12-15,4.653542,114.08786,Maluku Utara
2023-12-16,4.4957094,72.742424,Maluku Utara
2023-12-17,4.8811507,-36.341404,Sulawesi Tengah
2023-12-18,4.1723275,24.157055,Papua Barat
2023-12-19,4.593856,293.06982,Gorontalo
2023-12-20,4.0109344,-36.404385,Banten
2023-12-21,4.162753,66.401794,Nusa Tenggara Timur
2023-12-22,4.1791477,245.31213,Nusa Tenggara Timur
2023-12-23,4.4419584,26.978027,Aceh
2023-12-24,4.311525,119.37618,Gorontalo
2023-12-25,4.5911317,382.85117,Maluku
2023-12-26,4.739711,12.541477,Sumatra Selatan
2023-12-27,4.0988293,150.38403,Maluku Utara
2023-12-28,4.945043,-3.2899587,Maluku
2023-12-29,4.2272706,219.94635,Sulawesi Utara
2023-12-30,4.4772687,124.54885,Nusa Tenggara Timur
2023-12-31,4.897879,492.49237,Nusa Tenggara Timur
2024-01-01,5.704574,40.20237,Maluku
2024-01-02,4.2279577,-5.0761223,Lampung
2024-01-03,3.7830768,121.5169,Nusa Tenggara Timur
2024-01-04,4.1744885,7.195835,Maluku Utara
2024-01-05,4.213833,200.42416,Maluku Utara
2024-01-06,4.448479,39.943027,Bengkulu
2024-01-07,4.3303514,247.45152,Sulawesi Utara
2024-01-08,4.101158,63.0132,Nusa Tenggara Timur
2024-01-09,4.02173,89.14284,Maluku Utara
2024-01-10,3.9124956,33.555115,Maluku Utara
2024-01-11,3.7997196,113.26582,Maluku Utara
2024-01-12,4.2620635,157.60632,Maluku
2024-01-13,4.5343456,178.67528,Sumatra Utara
2024-01-14,4.8102064,254.41624,Sumatra Utara
2024-01-15,3.8350947,86.870155,Maluku
2024-01-16,5.278912,62.237755,Sumatra Utara
2024-01-17,4.4308944,122.71228,Sumatra Utara
2024-01-18,4.279253,32.982796,Sulawesi Utara
2024-01-19,3.893593,34.675106,Sulawesi Utara
2024-01-20,4.110706,110.381546,Sulawesi Utara
2024-01-21,4.440822,43.175423,Maluku
2024-01-22,4.2047715,75.45033,Maluku Utara
2024-01-23,4.7313223,106.195114,Sulawesi Utara
2024-01-24,4.9645276,57.803707,Sulawesi Utara
2024-01-25,4.5577636,9.111668,Sumatra Barat
2024-01-26,4.813001,-12.048885,Sumatra Barat
2024-01-27,4.167463,79.025085,Bali
2024-01-28,4.325162,114.65959,Maluku Utara
2024-01-29,4.323486,201.4823,Nusa Tenggara Barat
2024-01-30,4.193621,57.632854,Sulawesi Utara
2024-01-31,4.7846794,222.07878,Sulawesi Utara
2024-02-01,4.7238426,240.14153,Sulawesi Utara
2024-02-02,4.4278355,47.875114,Maluku
2024-02-03,4.2255974,-2.6587255,Maluku
2024-02-04,3.9187489,173.28798,Sulawesi Utara
2024-02-05,3.316696,412.41968,Maluku Utara
2024-02-06,4.4364414,78.42732,Lampung
2024-02-07,4.184214,81.82603,Sulawesi Utara
2024-02-08,3.90692,39.9264,Maluku
2024-02-09,4.365195,164.41374,Maluku
2024-02-10,4.2155457,-15.9248085,Maluku
2024-02-11,4.1959023,138.91568,Sulawesi Utara
2024-02-12,4.034807,239.11868,Gorontalo
2024-02-13,4.5388284,-8.115437,Sumatra Utara
2024-02-14,4.366893,43.60091,Maluku Utara
2024-02-15,4.2125354,24.389675,Nusa Tenggara Timur
2024-02-16,4.5346603,201.5932,Maluku
2024-02-17,3.6923447,106.64556,Maluku
2024-02-18,5.0216017,128.59052,Maluku
2024-02-19,4.867255,1.5473214,Nusa Tenggara Timur
2024-02-20,4.805511,30.871773,Papua Barat
2024-02-21,4.1266804,-46.14651,Papua
2024-02-22,4.150521,157.86143,Maluku Utara
2024-02-23,4.3709736,148.53015,Papua
2024-02-24,4.7841225,77.35208,Sumatra Selatan
2024-02-25,4.131531,-18.55193,Maluku
2024-02-26,4.8092523,11.996231,Papua Barat
2024-02-27,4.918265,58.43877,Maluku Utara
2024-02-28,4.4247227,124.54326,Jawa Tengah
2024-02-29,4.65572,116.9063,Lampung
2024-03-01,4.6051188,207.70012,Sulawesi Utara
2024-03-02,4.554533,135.20992,Lampung
2024-03-03,4.7509823,-30.748234,Aceh
2024-03-04,4.2330523,267.04657,Maluku
2024-03-05,4.572294,-19.286175,Bengkulu
2024-03-06,5.88772,13.703682,Jawa Barat
2024-03-07,4.3639126,-108.31511,Nusa Tenggara Timur
2024-03-08,5.154612,197.64917,Maluku Utara
2024-03-09,4.4123006,336.95645,Maluku
2024-03-10,4.13671,33.534386,Maluku
2024-03-11,4.8882065,2.1839488,Aceh
2024-03-12,5.1069727,-90.6808,Aceh
2024-03-13,5.2878304,65.64146,Maluku
2024-03-14,3.613498,61.887268,Aceh
2024-03-15,4.611175,49.63555,Maluku Utara
2024-03-16,3.9416308,-41.23685,Maluku Utara
2024-03-17,4.401372,15.710091,Aceh
2024-03-18,4.2191043,2.8952906,Maluku Utara
2024-03-19,3.5974464,-44.128735,Sulawesi Tengah
2024-03-20,5.2253623,11.255817,Maluku Utara
2024-03-21,4.6804667,205.54247,Nusa Tenggara Timur
2024-03-22,4.4787292,-39.670315,Papua
2024-03-23,5.0658855,19.829647,Papua
2024-03-24,4.5447297,57.28619,Nusa Tenggara Timur
2024-03-25,3.8324902,137.51898,Maluku
2024-03-26,4.5200067,120.07874,Bengkulu
2024-03-27,4.833801,174.896,Gorontalo
2024-03-28,4.125325,95.83323,Maluku Utara
2024-03-29,5.4197717,87.0309,Maluku
2024-03-30,4.5740757,54.412457,Sulawesi Utara
2024-03-31,4.7240214,11.986259,Maluku Utara
2024-04-01,2.860545,335.6916,Sulawesi Utara
2024-04-02,4.687014,90.324036,Jawa Barat
2024-04-03,4.0925965,102.19782,Maluku
2024-04-04,3.8527524,10.155453,Aceh
2024-04-05,4.079653,99.83118,Gorontalo
2024-04-06,5.152682,239.27826,Nusa Tenggara Timur
2024-04-07,5.231783,-59.766987,Maluku Utara
2024-04-08,4.9048247,330.11148,Gorontalo
2024-04-09,4.15136,166.9283,Maluku Utara
2024-04-10,4.215352,-151.71579,Maluku
2024-04-11,4.404247,149.93105,Maluku
2024-04-12,3.863531,453.24136,Gorontalo
2024-04-13,4.1590686,210.63487,Nusa Tenggara Timur
2024-04-14,4.907152,62.30297,Nusa Tenggara Timur
2024-04-15,4.3760467,32.43421,Aceh
2024-04-16,4.455794,187.61086,Maluku
2024-04-17,4.5796785,-24.914783,Papua Barat
2024-04-18,4.7555137,142.28728,Nusa Tenggara Timur
2024-04-19,4.477637,60.467472,Aceh
2024-04-20,4.7143216,80.01087,Aceh
2024-04-21,4.3010116,70.253365,Papua
2024-04-22,3.8666096,237.93488,Gorontalo
2024-04-23,5.000025,143.96716,Aceh
2024-04-24,4.207795,121.367294,Maluku Utara
2024-04-25,5.376771,109.17747,Gorontalo
2024-04-26,3.9665892,55.68646,Gorontalo
2024-04-27,4.33289,177.42622,Maluku Utara
2024-04-28,4.3449593,-4.719715,Papua
2024-04-29,4.5537686,295.08008,Sulawesi Utara
2024-04-30,4.149286,113.00998,Papua
2024-05-01,3.951023,-63.013706,Sulawesi Tenggara
2024-05-02,4.7211103,258.56213,Nusa Tenggara Timur
2024-05-03,3.9808853,129.27998,Maluku Utara
2024-05-04,4.5260067,22.082085,Aceh
2024-05-05,3.7246583,200.80754,Maluku Utara
2024-05-06,3.9924874,190.83765,Nusa Tenggara Timur
2024-05-07,4.1224184,25.324863,Maluku Utara
2024-05-08,4.193093,171.8961,Maluku Utara
2024-05-09,4.9680896,122.91886,Sumatra Utara
2024-05-10,5.135311,98.60013,Maluku Utara
2024-05-11,4.7100353,261.59097,Maluku Utara
2024-05-12,4.285213,166.5526,Jawa Timur
2024-05-13,4.400818,49.379795,Sulawesi Utara
2024-05-14,4.108272,73.93989,Nusa Tenggara Barat
2024-05-15,3.584213,-33.7122,Maluku Utara
2024-05-16,4.5267262,221.76558,Maluku
2024-05-17,4.295987,89.14768,Nusa Tenggara Timur
2024-05-18,4.478836,85.76982,Sulawesi Utara
2024-05-19,4.331147,138.00462,Maluku Utara
2024-05-20,3.9700098,24.41476,Aceh
2024-05-21,3.9092164,335.64825,Maluku
2024-05-22,4.788059,260.7037,Sumatra Selatan
2024-05-23,4.372969,4.5451317,Maluku Utara
2024-05-24,4.078161,163.741,Maluku Utara
