"Duration","Amplitude","Type"
"113.16","10","ROCKFALL"
"122.88","13","ROCKFALL"
"101.44","17","ROCKFALL"
"96.68","4","ROCKFALL"
"76.8","8","ROCKFALL"
"73.92","7","ROCKFALL"
"52.16","4","ROCKFALL"
"92.48","3","ROCKFALL"
"97.92","8","ROCKFALL"
"83.84","6","ROCKFALL"
"63.36","4","ROCKFALL"
"96","3","ROCKFALL"
"138.36","10","ROCKFALL"
"85.88","5","ROCKFALL"
"110.08","7","ROCKFALL"
"141.68","15","ROCKFALL"
"112.36","7","ROCKFALL"
"67.2","10","ROCKFALL"
"100.8","11","ROCKFALL"
"79.36","4","ROCKFALL"
"8.08","3","MP"
"103.36","5","ROCKFALL"
"93.64","10","ROCKFALL"
"166.92","24","ROCKFALL"
"60.28","5","ROCKFALL"
"82.04","5","ROCKFALL"
"92.2","6","ROCKFALL"
"51.4","4","ROCKFALL"
"262.8","6","ROCKFALL"
"78.32","6","ROCKFALL"
"74.84","5","ROCKFALL"
"90.92","7","ROCKFALL"
"87.96","4","ROCKFALL"
"9.12","4","MP"
"110.48","5","ROCKFALL"
"7.64","3","MP"
"90.28","3","ROCKFALL"
"39.68","3","ROCKFALL"
"99.96","4","ROCKFALL"
"80.92","4","ROCKFALL"
"139.88","5","ROCKFALL"
"99.16","14","ROCKFALL"
"193.28","7","ROCKFALL"
"139.68","15","ROCKFALL"
"140.48","6","ROCKFALL"
"94.08","3","ROCKFALL"
"85.76","5","ROCKFALL"
"78.08","4","ROCKFALL"
"15.6","3","ROCKFALL"
"115.44","4","ROCKFALL"
"94.44","4","ROCKFALL"
"96.84","3","ROCKFALL"
"71.72","5","ROCKFALL"
"218.56","4","ROCKFALL"
"99.72","5","ROCKFALL"
"81.72","4","ROCKFALL"
"20.4","7","ROCKFALL"
"60.36","5","ROCKFALL"
"127.24","5","ROCKFALL"
"45.04","3","ROCKFALL"
"49.28","3","ROCKFALL"
"5.72","3","MP"
"146.12","5","ROCKFALL"
"151.56","13","ROCKFALL"
"88.4","9","ROCKFALL"
"82.44","19","ROCKFALL"
"70.32","3","ROCKFALL"
"65.24","4","ROCKFALL"
"25.4","5","ROCKFALL"
"80.8","3","ROCKFALL"
"79.8","10","ROCKFALL"
"28.8","3","ROCKFALL"
"57.04","3","ROCKFALL"
"112.52","5","ROCKFALL"
"10.56","3","ROCKFALL"
"116.28","7","ROCKFALL"
"123.12","5","ROCKFALL"
"104.84","4","ROCKFALL"
"130.96","6","ROCKFALL"
"83.84","5","ROCKFALL"
"102.28","6","ROCKFALL"
"106.04","6","ROCKFALL"
"103.08","3","TECT"
"256.76","5","TECT"
"276.12","3","TECT"
"90.72","6","ROCKFALL"
"115.2","9","ROCKFALL"
"77.76","4","ROCKFALL"
"43.52","4","ROCKFALL"
"58.88","5","ROCKFALL"
"48.32","3","ROCKFALL"
"93.44","5","ROCKFALL"
"58.56","5","ROCKFALL"
"91.84","7","ROCKFALL"
"8.56","3","MP"
"6.96","3","MP"
"97.96","4","ROCKFALL"
"38.4","4","ROCKFALL"
"103.04","9","ROCKFALL"
"55.68","5","ROCKFALL"
"83.84","4","ROCKFALL"
"8.56","3","MP"
"93.12","8","ROCKFALL"
"109.44","4","ROCKFALL"
"101.44","4","ROCKFALL"
"50.56","7","ROCKFALL"
"71.32","5","ROCKFALL"
"155.36","5","ROCKFALL"
"20.12","19","ROCKFALL"
"88.56","6","ROCKFALL"
"104.44","7","ROCKFALL"
"130","6","ROCKFALL"
"72.76","4","ROCKFALL"
"78.64","5","ROCKFALL"
"120.08","8","ROCKFALL"
"100.24","8","ROCKFALL"
"98.68","8","ROCKFALL"
"81.88","6","ROCKFALL"
"114.32","7","ROCKFALL"
"125.64","4","ROCKFALL"
"134.68","18","ROCKFALL"
"108.84","9","ROCKFALL"
"89.68","12","ROCKFALL"
"21.96","3","ROCKFALL"
"97.32","8","ROCKFALL"
"29.76","21","ROCKFALL"
"98.68","6","ROCKFALL"
"154.4","4","ROCKFALL"
"131.84","3","ROCKFALL"
"96.2","5","ROCKFALL"
"178.76","3","ROCKFALL"
"110.28","7","ROCKFALL"
"91.08","3","ROCKFALL"
"118.56","5","ROCKFALL"
"74.24","4","ROCKFALL"
"123.08","8","ROCKFALL"
"135.24","3","ROCKFALL"
"116","5","ROCKFALL"
"63.28","3","ROCKFALL"
"146.16","6","ROCKFALL"
"59.24","3","ROCKFALL"
"74.16","3","ROCKFALL"
"77.84","3","ROCKFALL"
"84.08","5","ROCKFALL"
"37.12","3","ROCKFALL"
"97.92","4","ROCKFALL"
"161.84","8","ROCKFALL"
"58.6","3","TECT"
"92.2","3","ROCKFALL"
"130.84","9","ROCKFALL"
"56.32","4","ROCKFALL"
"123.72","7","ROCKFALL"
"94.92","3","ROCKFALL"
"103.64","6","ROCKFALL"
"186.16","39","ROCKFALL"
"60.56","3","ROCKFALL"
"22.56","3","ROCKFALL"
"112.28","3","ROCKFALL"
"28.76","3","ROCKFALL"
"58.28","3","ROCKFALL"
"114.72","10","ROCKFALL"
"23.96","5","ROCKFALL"
"96.96","3","ROCKFALL"
"104.8","3","ROCKFALL"
"155","22","ROCKFALL"
"69.4","3","ROCKFALL"
"71.44","3","ROCKFALL"
"122.4","3","ROCKFALL"
"136.32","7","ROCKFALL"
"113.24","7","ROCKFALL"
"54.44","3","ROCKFALL"
"72.4","3","ROCKFALL"
"89.84","4","ROCKFALL"
"90.24","4","ROCKFALL"
"70.4","3","ROCKFALL"
"106.24","3","ROCKFALL"
"116.48","8","ROCKFALL"
"50.56","3","ROCKFALL"
"45.44","3","ROCKFALL"
"61.76","8","ROCKFALL"
"101.96","18","ROCKFALL"
"62.24","12","ROCKFALL"
"72","4","ROCKFALL"
"56","5","ROCKFALL"
"41.28","3","ROCKFALL"
"51.84","4","ROCKFALL"
